Movie-Title,rating,Director_stars
Dream Horse,6.8,"Director:Euros Lyn,  Stars:Toni Collette, Damian Lewis, Owen Teale, Peter Davison"
The Shape of Water,7.3,"Director:Guillermo del Toro,  Stars:Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
Aquaman,6.9,"Director:James Wan,  Stars:Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson"
Raiders of the Lost Ark,8.4,"Director:Steven Spielberg,  Stars:Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies"
Lolita,6.9,"Director:Adrian Lyne,  Stars:Jeremy Irons, Dominique Swain, Melanie Griffith, Frank Langella"
There Will Be Blood,8.2,"Director:Paul Thomas Anderson,  Stars:Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer"
The Martian,8.0,"Director:Ridley Scott,  Stars:Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
Crazy Rich Asians,6.9,"Director:Jon M. Chu,  Stars:Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan"
American Psycho,7.6,"Director:Mary Harron,  Stars:Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
Road House,6.6,"Director:Rowdy Herrington,  Stars:Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
The Hobbit: An Unexpected Journey,7.8,"Director:Peter Jackson,  Stars:Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis"
Love Actually,7.6,"Director:Richard Curtis,  Stars:Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney"
Contratiempo,8.1,"Director:Oriol Paulo,  Stars:Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie"
The Cabin in the Woods,7.0,"Director:Drew Goddard,  Stars:Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
The Mummy,7.0,"Director:Stephen Sommers,  Stars:Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Avengers: Age of Ultron,7.3,"Director:Joss Whedon,  Stars:Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Breach,2.9,"Director:John Suits,  Stars:Cody Kearsley, Bruce Willis, Rachel Nichols, Kassandra Clementi"
"Three Billboards Outside Ebbing, Missouri",8.1,"Director:Martin McDonagh,  Stars:Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
Wanted,6.7,"Director:Timur Bekmambetov,  Stars:Angelina Jolie, James McAvoy, Morgan Freeman, Terence Stamp"
The Irishman,7.8,"Director:Martin Scorsese,  Stars:Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
